hand_key,group,display_color,suit_role,suite_note,constraint_type,constraint_values,constraint_must_match,constraint_extra,jokers_allowed
2025-2025-1-1,FFFF,blue,none,,kong,flower,,,TRUE
2025-2025-1-1,2025,green,any,,sequence,"2,0,2,5",,zero_is_neutral,FALSE
2025-2025-1-1,222_1,red,second,,pung,"2,5",222_2,,TRUE
2025-2025-1-1,222_2,blue,third,,pung,"2,5",222_1,,TRUE
2025-2025-2-1,222_1,green,any,,pung,2,,,TRUE
2025-2025-2-1,0000,blue,none,,kong,dragon,,,TRUE
2025-2025-2-1,222_2,red,second,,pung,2,,,TRUE
2025-2025-2-1,5555,red,second,,kong,5,,,TRUE
2025-2025-3-1,2025,green,any,,sequence,"2,0,2,5",,zero_is_neutral,FALSE
2025-2025-3-1,222,red,second,,pung,2,,,TRUE
2025-2025-3-1,555,red,second,,pung,5,,,TRUE
2025-2025-3-1,DDDD,blue,third,,kong,dragon,,,TRUE
2025-2025-4-1,FF,blue,none,,pair,flower,,,FALSE
2025-2025-4-1,222_1,green,any,,pung,2,,,FALSE
2025-2025-4-1,000,blue,none,,pung,0,,zero_is_neutral,FALSE
2025-2025-4-1,222_2,red,second,,pung,2,,,FALSE
2025-2025-4-1,555,blue,third,,pung,5,,,FALSE
2025-2468-1-1,222,blue,any,,pung,2,,,TRUE
2025-2468-1-1,4444,blue,same_as:222,,kong,4,,,TRUE
2025-2468-1-1,666,blue,same_as:222,,pung,6,,,TRUE
2025-2468-1-1,8888,blue,same_as:222,,kong,8,,,TRUE
2025-2468-1-2,222,green,any,,pung,2,,,TRUE
2025-2468-1-2,4444,green,same_as:222,,kong,4,,,TRUE
2025-2468-1-2,666,red,second,,pung,6,,,TRUE
2025-2468-1-2,8888,red,second,,kong,8,,,TRUE
2025-2468-2-1,FF,blue,none,,pair,flower,,,FALSE
2025-2468-2-1,2222,green,any,,kong,2,,,TRUE
2025-2468-2-1,4444,red,second,,kong,4,,,TRUE
2025-2468-2-1,6666,blue,third,,kong,6,,,TRUE
2025-2468-2-2,FF,blue,none,,pair,flower,,,FALSE
2025-2468-2-2,2222,green,any,,kong,2,,,TRUE
2025-2468-2-2,6666,red,second,,kong,6,,,TRUE
2025-2468-2-2,8888,blue,third,,kong,8,,,TRUE
2025-2468-3-1,22,blue,any,,pair,2,,,FALSE
2025-2468-3-1,444,blue,same_as:22,,pung,4,,,TRUE
2025-2468-3-1,66,blue,same_as:22,,pair,6,,,FALSE
2025-2468-3-1,888,blue,same_as:22,,pung,8,,,TRUE
2025-2468-3-1,DDDD,blue,none,,kong,dragon,,,TRUE
2025-2468-4-1,FFFF,blue,none,,kong,flower,,,TRUE
2025-2468-4-1,2468,green,any,,sequence,"2,4,6,8",,,FALSE
2025-2468-4-1,222_1,red,second,,pung,2,,,TRUE
2025-2468-4-1,222_2,blue,third,,pung,2,,,TRUE
2025-2468-5-1,FFF,blue,none,,pung,flower,,,TRUE
2025-2468-5-1,22,blue,any,,pair,2,,,FALSE
2025-2468-5-1,44,blue,same_as:22,,pair,4,,,FALSE
2025-2468-5-1,666,blue,same_as:22,,pung,6,,,TRUE
2025-2468-5-1,8888,blue,same_as:22,,kong,8,,,TRUE
2025-2468-6-1,222,green,any,,pung,2,,,TRUE
2025-2468-6-1,4444,green,same_as:222,,kong,4,,,TRUE
2025-2468-6-1,666,green,same_as:222,,pung,6,,,TRUE
2025-2468-6-1,88_1,red,second,,pair,8,,,FALSE
2025-2468-6-1,88_2,blue,third,,pair,8,,,FALSE
2025-2468-7-1,FF,blue,none,,pair,flower,,,FALSE
2025-2468-7-1,2222_1,green,any,,kong,"2,4,6,8",2222_2,,TRUE
2025-2468-7-1,DDDD,red,second,,kong,dragon,,,TRUE
2025-2468-7-1,2222_2,blue,third,,kong,"2,4,6,8",2222_1,,TRUE
2025-2468-8-1,22,green,any,,pair,2,,,FALSE
2025-2468-8-1,44,green,same_as:22,,pair,4,,,FALSE
2025-2468-8-1,66,green,same_as:22,,pair,6,,,FALSE
2025-2468-8-1,88,green,same_as:22,,pair,8,,,FALSE
2025-2468-8-1,222_1,red,second,,pung,"2,4,6,8",222_2,,FALSE
2025-2468-8-1,222_2,blue,third,,pung,"2,4,6,8",222_1,,FALSE
2025-ANY_LIKE_NUMBERS-1-1,FF,blue,none,,pair,flower,,,FALSE
2025-ANY_LIKE_NUMBERS-1-1,1111_1,green,any,,kong,"1,2,3,4,5,6,7,8,9","11,1111_2",,TRUE
2025-ANY_LIKE_NUMBERS-1-1,D_1,green,same_as:1111_1,,single,dragon,,,FALSE
2025-ANY_LIKE_NUMBERS-1-1,1111_2,red,second,,kong,"1,2,3,4,5,6,7,8,9","1111_1,11",,TRUE
2025-ANY_LIKE_NUMBERS-1-1,D_2,red,same_as:1111_2,,single,dragon,,,FALSE
2025-ANY_LIKE_NUMBERS-1-1,11,blue,third,,pair,"1,2,3,4,5,6,7,8,9","1111_1, 1111_2",,FALSE
2025-ANY_LIKE_NUMBERS-2-1,FFFF,blue,none,,kong,flower,,,TRUE
2025-ANY_LIKE_NUMBERS-2-1,11_1,green,any,,pair,"1,2,3,4,5,6,7,8,9","111_1, 111_2, 11_2",,FALSE
2025-ANY_LIKE_NUMBERS-2-1,111_1,red,second,,pung,"1,2,3,4,5,6,7,8,9","11_1, 111_2, 11_2",,TRUE
2025-ANY_LIKE_NUMBERS-2-1,111_2,blue,third,,pung,"1,2,3,4,5,6,7,8,9","11_1, 111_1, 11_2",,TRUE
2025-ANY_LIKE_NUMBERS-2-1,11_2,green,same_as:11_1,,pair,"1,2,3,4,5,6,7,8,9","11_1, 111_1, 111_2",,FALSE
2025-ANY_LIKE_NUMBERS-3-1,FF,blue,none,,pair,flower,,,FALSE
2025-ANY_LIKE_NUMBERS-3-1,111_1,green,any,,pung,"1,2,3,4,5,6,7,8,9","111_2, 111_3",,FALSE
2025-ANY_LIKE_NUMBERS-3-1,111_2,red,second,,pung,"1,2,3,4,5,6,7,8,9","111_1, 111_3",,FALSE
2025-ANY_LIKE_NUMBERS-3-1,111_3,blue,third,,pung,"1,2,3,4,5,6,7,8,9","111_1, 111_2",,FALSE
2025-ANY_LIKE_NUMBERS-3-1,DDD,green,any,,pung,dragon,,,FALSE
2025-QUINTS-1-1,FF,blue,none,,pair,flower,,,FALSE
2025-QUINTS-1-1,111,green,any,,pung,"1,2,3,4,5,6,7",,"consecutive:111,2222,33333",TRUE
2025-QUINTS-1-1,2222,red,second,,kong,"2,3,4,5,6,8,9",,"consecutive:111,2222,33333",TRUE
2025-QUINTS-1-1,33333,blue,third,,quint,"3,4,5,6,7,8,9",,"consecutive:111,2222,33333",TRUE
2025-QUINTS-2-1,11111,blue,any,,quint,"1,2,3,4,5,6,7,8",,"consecutive:11111,22222",TRUE
2025-QUINTS-2-1,NNNN,blue,none,,kong,"n,e,w,s",,,TRUE
2025-QUINTS-2-1,22222,blue,same_as:11111,,quint,"2,3,4,5,6,7,8,9",,"consecutive:11111,22222",TRUE
2025-QUINTS-3-1,FF,blue,none,,pair,flower,,,FALSE
2025-QUINTS-3-1,11111_1,green,any,,quint,"1,2,3,4,5,6,7,8,9","11,11111_2",,TRUE
2025-QUINTS-3-1,11,red,second,,pair,"1,2,3,4,5,6,7,8,9","11111_1, 11111_2",,FALSE
2025-QUINTS-3-1,11111_2,blue,third,,quint,"1,2,3,4,5,6,7,8,9",11111_1,,TRUE
2025-CONSECUTIVE_RUN-1-1,11,blue,any,,pair,1,,,FALSE
2025-CONSECUTIVE_RUN-1-1,222,blue,same_as:11,,pung,2,,,TRUE
2025-CONSECUTIVE_RUN-1-1,3333,blue,same_as:222,,kong,3,,,TRUE
2025-CONSECUTIVE_RUN-1-1,444,blue,same_as:3333,,pung,4,,,TRUE
2025-CONSECUTIVE_RUN-1-1,55,blue,same_as:444,,pair,5,,,FALSE
2025-CONSECUTIVE_RUN-1-2,55,blue,any,,pair,5,,,FALSE
2025-CONSECUTIVE_RUN-1-2,666,blue,same_as:55,,pung,6,,,TRUE
2025-CONSECUTIVE_RUN-1-2,7777,blue,same_as:666,,kong,7,,,TRUE
2025-CONSECUTIVE_RUN-1-2,888,blue,same_as:7777,,pung,8,,,TRUE
2025-CONSECUTIVE_RUN-1-2,99,blue,same_as:888,,pair,9,,,FALSE
2025-CONSECUTIVE_RUN-2-1,111,blue,any,,pung,"1,2,3,4,5,6",,"consecutive:111,2222,333,4444",TRUE
2025-CONSECUTIVE_RUN-2-1,2222,blue,same_as:111,,kong,"2,3,4,5,6,7",,"consecutive:111,2222,333,4444",TRUE
2025-CONSECUTIVE_RUN-2-1,333,blue,same_as:2222,,pung,"3,4,5,6,7,8",,"consecutive:111,2222,333,4444",TRUE
2025-CONSECUTIVE_RUN-2-1,4444,blue,same_as:333,,kong,"4,5,6,7,8,9",,"consecutive:111,2222,333,4444",TRUE
2025-CONSECUTIVE_RUN-2-2,111,blue,any,,pung,"1,2,3,4,5,6",,"consecutive:111,2222,333,4444",TRUE
2025-CONSECUTIVE_RUN-2-2,2222,green,second,,kong,"2,3,4,5,6,7",,"consecutive:111,2222,333,4444",TRUE
2025-CONSECUTIVE_RUN-2-2,333,red,third,,pung,"3,4,5,6,7,8",,"consecutive:111,2222,333,4444",TRUE
2025-CONSECUTIVE_RUN-2-2,4444,red,third,,kong,"4,5,6,7,8,9",,"consecutive:111,2222,333,4444",TRUE
2025-CONSECUTIVE_RUN-3-1,FFFF,blue,none,,kong,flower,,,TRUE
2025-CONSECUTIVE_RUN-3-1,1111,blue,any,,kong,"1,2,3,4,5,6,7",,,TRUE
2025-CONSECUTIVE_RUN-3-1,22,blue,same_as:1111,,pair,"2,3,4,5,6,7,8",,,FALSE
2025-CONSECUTIVE_RUN-3-1,3333,blue,same_as:22,,kong,"3,4,5,6,7,8,9",,,TRUE
2025-CONSECUTIVE_RUN-3-2,FFFF,blue,none,,kong,flower,,,TRUE
2025-CONSECUTIVE_RUN-3-2,1111,green,any,,kong,"1,2,3,4,5,6,7",,"consecutive:1111,22,3333",TRUE
2025-CONSECUTIVE_RUN-3-2,22,red,second,,pair,"2,3,4,5,6,7,8",,"consecutive:1111,22,3333",FALSE
2025-CONSECUTIVE_RUN-3-2,3333,blue,third,,kong,"3,4,5,6,7,8,9",,"consecutive:1111,22,3333",TRUE
2025-CONSECUTIVE_RUN-4-1,FFF,blue,none,,pung,flower,,,TRUE
2025-CONSECUTIVE_RUN-4-1,123,green,any,,sequence,"1,2,3,4,5,6,7",,"consecutive:123,4444,5555",FALSE
2025-CONSECUTIVE_RUN-4-1,4444,red,second,,kong,"4,5,6,7,8",,"consecutive:123,4444,5555",TRUE
2025-CONSECUTIVE_RUN-4-1,5555,blue,third,,kong,"5,6,7,8,9",,"consecutive:123,4444,5555",TRUE
2025-CONSECUTIVE_RUN-5-1,FF,blue,none,,pair,flower,,,FALSE
2025-CONSECUTIVE_RUN-5-1,11,blue,any,,pair,"1,2,3,4,5,6,7",,"consecutive:11,222,333",FALSE
2025-CONSECUTIVE_RUN-5-1,222,blue,same_as:11,,pung,"2,3,4,5,6,7,8",,"consecutive:11,222,333",TRUE
2025-CONSECUTIVE_RUN-5-1,333,blue,same_as:222,,pung,"3,4,5,6,7,8,9",,"consecutive:11,222,333",TRUE
2025-CONSECUTIVE_RUN-5-1,DDD,blue,none,,pung,dragon,,,TRUE
2025-CONSECUTIVE_RUN-6-1,111,green,any,,pung,"1,2,3,4,5,6,7",,"consecutive:111,222,3333",TRUE
2025-CONSECUTIVE_RUN-6-1,222,green,same_as:111,,pung,"2,3,4,5,6,7,8",,"consecutive:111,222,3333",TRUE
2025-CONSECUTIVE_RUN-6-1,3333,green,same_as:222,,kong,"3,4,5,6,7,8,9",,"consecutive:111,222,3333",TRUE
2025-CONSECUTIVE_RUN-6-1,DD_1,red,none,v. Opp Dragons,pair,dragon,,,FALSE
2025-CONSECUTIVE_RUN-6-1,DD_2,blue,none,v. Opp Dragons,pair,dragon,,,FALSE
2025-CONSECUTIVE_RUN-7-1,112345,green,any,,sequence,"1,2,3,4,5,6,7,8,9",,"pair_in_sequence:1,2,3,4,5, consecutive_after_pair",FALSE
2025-CONSECUTIVE_RUN-7-1,1111_1,red,second,,kong,"1,2,3,4,5,6,7,8,9",,match_pair:112345,TRUE
2025-CONSECUTIVE_RUN-7-1,1111_2,blue,third,,kong,"1,2,3,4,5,6,7,8,9",,match_pair:112345,TRUE
2025-CONSECUTIVE_RUN-8-1,FF,blue,none,,pair,flower,,,FALSE
2025-CONSECUTIVE_RUN-8-1,1_1,green,any,,single,"1,2,3,4,5,6,7",,"consecutive:1_1,22_1,333_1",FALSE
2025-CONSECUTIVE_RUN-8-1,22_1,green,same_as:1_1,,pair,"2,3,4,5,6,7,8",,"consecutive:1_1,22_1,333_1",FALSE
2025-CONSECUTIVE_RUN-8-1,333_1,green,same_as:22_1,,pung,"3,4,5,6,7,8,9",,"consecutive:1_1,22_1,333_1",FALSE
2025-CONSECUTIVE_RUN-8-1,1_2,red,second,,single,"1,2,3,4,5,6,7",,"consecutive:1_2,22_2,333_2",FALSE
2025-CONSECUTIVE_RUN-8-1,22_2,red,same_as:1_2,,pair,"2,3,4,5,6,7,8",,"consecutive:1_2,22_2,333_2",FALSE
2025-CONSECUTIVE_RUN-8-1,333_2,red,same_as:22_2,,pung,"3,4,5,6,7,8,9",,"consecutive:1_2,22_2,333_2",FALSE
2025-13579-1-1,11,blue,any,,pair,1,,,FALSE
2025-13579-1-1,333,blue,same_as:11,,pung,3,,,TRUE
2025-13579-1-1,5555,blue,same_as:333,,kong,5,,,TRUE
2025-13579-1-1,777,blue,same_as:5555,,pung,7,,,TRUE
2025-13579-1-1,99,blue,same_as:777,,pair,9,,,FALSE
2025-13579-1-2,11,green,any,,pair,1,,,FALSE
2025-13579-1-2,333,green,same_as:11,,pung,3,,,TRUE
2025-13579-1-2,5555,red,second,,kong,5,,,TRUE
2025-13579-1-2,777,blue,third,,pung,7,,,TRUE
2025-13579-1-2,99,blue,same_as:777,,pair,9,,,FALSE
2025-13579-2-1,111,green,any,,pung,1,,,TRUE
