hand_key,group,display_color,suit_role,suite_note,constraint_type,constraint_values,constraint_must_match,constraint_extra,jokers_allowed
2025-13579-2-1,3333,green,same_as:111,,kong,3,,,TRUE
2025-13579-2-1,333,red,second,,pung,3,,,TRUE
2025-13579-2-1,5555,red,same_as:333,,kong,5,,,TRUE
2025-13579-2-2,555,green,any,,pung,5,,,TRUE
2025-13579-2-2,7777,green,same_as:555,,kong,7,,,TRUE
2025-13579-2-2,777,red,second,,pung,7,,,TRUE
2025-13579-2-2,9999,red,same_as:777,,kong,9,,,TRUE
2025-13579-3-1,1111,blue,any,,kong,1,,,TRUE
2025-13579-3-1,333,blue,same_as:1111,,pung,3,,,TRUE
2025-13579-3-1,5555,blue,same_as:333,,kong,5,,,TRUE
2025-13579-3-1,DDD,blue,none,,pung,dragon,,,TRUE
2025-13579-3-2,5555,blue,any,,kong,5,,,TRUE
2025-13579-3-2,777,blue,same_as:5555,,pung,7,,,TRUE
2025-13579-3-2,9999,blue,same_as:777,,kong,9,,,TRUE
2025-13579-3-2,DDD,blue,none,,pung,3,,,TRUE
2025-13579-4-1,FFFF,blue,none,,kong,flower,,,TRUE
2025-13579-4-1,1111,green,any,,kong,1,,,TRUE
2025-13579-4-1,9999,green,same_as:1111,,kong,9,,,TRUE
2025-13579-4-1,10,red,second,,sequence,"1,0",,,FALSE
2025-13579-5-1,FFF,blue,none,,pung,flower,,,TRUE
2025-13579-5-1,135,blue,any,,sequence,"1,3,5",,,FALSE
2025-13579-5-1,7777,blue,same_as:135,,kong,7,,,TRUE
2025-13579-5-1,9999,blue,same_as:7777,,kong,9,,,TRUE
2025-13579-5-2,FFF,blue,none,,pung,flower,,,TRUE
2025-13579-5-2,135,green,any,,sequence,"1,3,5",,,FALSE
2025-13579-5-2,7777,red,second,,kong,7,,,TRUE
2025-13579-5-2,9999,blue,third,,kong,9,,,TRUE
2025-13579-6-1,111,green,any,,pung,1,,,TRUE
2025-13579-6-1,333,green,same_as:111,,pung,3,,,TRUE
2025-13579-6-1,5555,green,same_as:333,,kong,5,,,TRUE
2025-13579-6-1,DD_1,red,none,v. Opp Dragons,pair,dragon,,,FALSE
2025-13579-6-1,DD_2,blue,none,v. Opp Dragons,pair,dragon,,,FALSE
2025-13579-6-2,555,green,any,,pung,5,,,TRUE
2025-13579-6-2,777,green,same_as:555,,pung,7,,,TRUE
2025-13579-6-2,9999,green,same_as:777,,kong,9,,,TRUE
2025-13579-6-2,DD_1,red,none,v. Opp Dragons,pair,dragon,,,FALSE
2025-13579-6-2,DD_2,blue,none,v. Opp Dragons,pair,dragon,,,FALSE
2025-13579-7-1,11,green,any,,pair,1,,,FALSE
2025-13579-7-1,333_1,green,same_as:11,,pung,3,,,TRUE
2025-13579-7-1,NEWS,blue,none,,sequence,"n,e,w,s",,,FALSE
2025-13579-7-1,333_2,red,second,,pung,3,,,TRUE
2025-13579-7-1,55,red,same_as:333_2,,pair,5,,,FALSE
2025-13579-7-2,55,green,any,,pair,5,,,FALSE
2025-13579-7-2,777_1,green,same_as:55,,pung,7,,,TRUE
2025-13579-7-2,NEWS,blue,none,,sequence,"n,e,w,s",,,FALSE
2025-13579-7-2,777_2,red,second,,pung,7,,,TRUE
2025-13579-7-2,99,red,same_as:777_2,,pair,9,,,FALSE
2025-13579-8-1,1111,green,any,,kong,1,,,TRUE
2025-13579-8-1,33,red,second,,pair,3,,,FALSE
2025-13579-8-1,55,red,same_as:33,,pair,5,,,FALSE
2025-13579-8-1,77,red,same_as:55,,pair,7,,,FALSE
2025-13579-8-1,9999,green,third,,kong,9,,,TRUE
2025-13579-9-1,FF,blue,none,,pair,flower,,,FALSE
2025-13579-9-1,11,green,any,,pair,1,,,FALSE
2025-13579-9-1,33,green,same_as:11,,pair,3,,,FALSE
2025-13579-9-1,111,red,second,,pung,1,,,FALSE
2025-13579-9-1,333,red,same_as:111,,pung,3,,,FALSE
2025-13579-9-1,55,blue,third,,pair,5,,,FALSE
2025-13579-9-2,FF,blue,none,,pair,flower,,,FALSE
2025-13579-9-2,55,green,any,,pair,5,,,FALSE
2025-13579-9-2,77,green,same_as:55,,pair,7,,,FALSE
2025-13579-9-2,555,red,second,,pung,5,,,FALSE
2025-13579-9-2,777,red,same_as:555,,pung,7,,,FALSE
2025-13579-9-2,99,blue,third,,pair,9,,,FALSE
2025-WINDS_-_DRAGONS-1-1,NNNN,blue,none,,kong,n,,,TRUE
2025-WINDS_-_DRAGONS-1-1,EEE,blue,none,,pung,e,,,TRUE
2025-WINDS_-_DRAGONS-1-1,WWW,blue,none,,pung,w,,,TRUE
2025-WINDS_-_DRAGONS-1-1,SSSS,blue,none,,kong,s,,,TRUE
2025-WINDS_-_DRAGONS-1-2,NNN,blue,none,,pung,n,,,TRUE
2025-WINDS_-_DRAGONS-1-2,EEEE,blue,none,,kong,e,,,TRUE
2025-WINDS_-_DRAGONS-1-2,WWWW,blue,none,,kong,w,,,TRUE
2025-WINDS_-_DRAGONS-1-2,SSS,blue,none,,pung,s,,,TRUE
2025-WINDS_-_DRAGONS-2-1,FF,blue,none,,pair,flower,,,FALSE
2025-WINDS_-_DRAGONS-2-1,123,blue,any,,sequence,"1,2,3",,,FALSE
2025-WINDS_-_DRAGONS-2-1,DD,green,none,v. Opp Dragons,pair,dragon,,,FALSE
2025-WINDS_-_DRAGONS-2-1,DDD,red,none,v. Opp Dragons,pung,dragon,,,TRUE
2025-WINDS_-_DRAGONS-2-1,DDDD,blue,none,v. Opp Dragons,kong,dragon,,,TRUE
2025-WINDS_-_DRAGONS-3-1,FFF,blue,none,,pung,flower,,,TRUE
2025-WINDS_-_DRAGONS-3-1,NN,blue,none,,pair,n,,,FALSE
2025-WINDS_-_DRAGONS-3-1,EE,blue,none,,pair,e,,,FALSE
2025-WINDS_-_DRAGONS-3-1,WWW,blue,none,,pung,w,,,TRUE
2025-WINDS_-_DRAGONS-3-1,SSSS,blue,none,,kong,s,,,TRUE
2025-WINDS_-_DRAGONS-4-1,FFFF,blue,none,,kong,flower,,,TRUE
2025-WINDS_-_DRAGONS-4-1,DDD_1,green,none,v. Opp Dragons,pung,dragon,,,TRUE
2025-WINDS_-_DRAGONS-4-1,NEWS,blue,none,,sequence,"n,e,w,s",,,FALSE
2025-WINDS_-_DRAGONS-4-1,DDD_2,red,none,v. Opp Dragons,pung,dragon,,,TRUE
2025-WINDS_-_DRAGONS-5-1,NNNN,blue,none,,kong,n,,,TRUE
2025-WINDS_-_DRAGONS-5-1,1,green,any,,single,"1,3,5,7,9","11, 111",,FALSE
2025-WINDS_-_DRAGONS-5-1,11,red,second,,pair,"1,3,5,7,9","1,111",,FALSE
2025-WINDS_-_DRAGONS-5-1,111,blue,third,,pung,"1,3,5,7,9","1,11",,TRUE
2025-WINDS_-_DRAGONS-5-1,SSSS,blue,none,,kong,s,,,TRUE
2025-WINDS_-_DRAGONS-6-1,EEEE,blue,none,,kong,e,,,TRUE
2025-WINDS_-_DRAGONS-6-1,2,green,any,,single,"2,4,6,8","22,222",,FALSE
2025-WINDS_-_DRAGONS-6-1,22,red,second,,pair,"2,4,6,8","2,222",,FALSE
2025-WINDS_-_DRAGONS-6-1,222,blue,third,,pung,"2,4,6,8","2,22",,TRUE
2025-WINDS_-_DRAGONS-6-1,WWWW,blue,none,,kong,w,,,TRUE
2025-WINDS_-_DRAGONS-7-1,NN,blue,none,,pair,n,,,FALSE
2025-WINDS_-_DRAGONS-7-1,EEE,blue,none,,pung,e,,,TRUE
2025-WINDS_-_DRAGONS-7-1,WWW,blue,none,,pung,w,,,TRUE
2025-WINDS_-_DRAGONS-7-1,SS,blue,none,,pair,s,,,FALSE
2025-WINDS_-_DRAGONS-7-1,2025,blue,any,,sequence,"2,0,2,5",,,FALSE
2025-WINDS_-_DRAGONS-7-2,NNN,blue,none,,pung,n,,,TRUE
2025-WINDS_-_DRAGONS-7-2,EE,blue,none,,pair,e,,,FALSE
2025-WINDS_-_DRAGONS-7-2,WW,blue,none,,pair,w,,,FALSE
2025-WINDS_-_DRAGONS-7-2,SSS,blue,none,,pung,s,,,TRUE
2025-WINDS_-_DRAGONS-7-2,2025,blue,any,,sequence,"2,0,2,5",,,FALSE
2025-WINDS_-_DRAGONS-8-1,NN,blue,none,,pair,n,,,FALSE
2025-WINDS_-_DRAGONS-8-1,EE,blue,none,,pair,e,,,FALSE
2025-WINDS_-_DRAGONS-8-1,WWW,blue,none,,pung,w,,,FALSE
2025-WINDS_-_DRAGONS-8-1,SSS,blue,none,,pung,s,,,FALSE
2025-WINDS_-_DRAGONS-8-1,DDDD,blue,none,,kong,dragon,,,FALSE
2025-369-1-1,333,green,any,,pung,3,,,TRUE
2025-369-1-1,6666,green,same_as:333,,kong,6,,,TRUE
2025-369-1-1,666,red,second,,pung,6,,,TRUE
2025-369-1-1,9999,red,same_as:666,,kong,9,,,TRUE
2025-369-1-2,333,green,any,,pung,3,,,TRUE
2025-369-1-2,6666,green,same_as:333,,kong,6,,,TRUE
2025-369-1-2,666,red,second,,pung,6,,,TRUE
2025-369-1-2,9999,blue,third,,kong,9,,,TRUE
2025-369-2-1,FF,blue,none,,pair,flower,,,FALSE
2025-369-2-1,3333,blue,any,,kong,3,,,TRUE
2025-369-2-1,6666,blue,same_as:3333,,kong,6,,,TRUE
2025-369-2-1,9999,blue,same_as:6666,,kong,9,,,TRUE
2025-369-2-2,FF,blue,none,,pair,flower,,,FALSE
2025-369-2-2,3333,green,any,,kong,3,,,TRUE
2025-369-2-2,6666,red,second,,kong,6,,,TRUE
2025-369-2-2,9999,blue,third,,kong,9,,,TRUE
2025-369-3-1,3333_1,green,any,,kong,3,,,TRUE
2025-369-3-1,DDD_1,green,same_as:3333_1,,pung,dragon,,,TRUE
2025-369-3-1,3333_2,red,second,,kong,3,,,TRUE
2025-369-3-1,DDD_2,red,same_as:3333_2,,pung,dragon,,,TRUE
2025-369-4-1,FFF,blue,none,,pung,flower,,,TRUE
2025-369-4-1,3333,green,any,,kong,3,,,TRUE
2025-369-4-1,369,red,second,,sequence,"3,6,9",,,FALSE
2025-369-4-1,9999,green,third,,kong,9,,,TRUE
2025-369-5-1,33,green,any,,pair,3,,,FALSE
2025-369-5-1,66,green,same_as:33,,pair,6,,,FALSE
2025-369-5-1,99,green,same_as:66,,pair,9,,,FALSE
2025-369-5-1,3333_1,red,second,,kong,"3,6,9",3333_2,,TRUE
2025-369-5-1,3333_2,blue,third,,kong,"3,6,9",3333_1,,TRUE
2025-369-6-1,FF,blue,none,,pair,flower,,,FALSE
2025-369-6-1,333,green,any,,pung,3,,,FALSE
2025-369-6-1,D_1,green,same_as:333,,single,dragon,,,FALSE
2025-369-6-1,666,red,second,,pung,6,,,FALSE
2025-369-6-1,D_2,red,same_as:666,,single,dragon,,,FALSE
2025-369-6-1,999,blue,third,,pung,9,,,FALSE
2025-369-6-1,D_3,blue,same_as:999,,single,dragon,,,FALSE
2025-SINGLES_AND_PAIRS-1-1,NN,blue,none,,pair,n,,,FALSE
2025-SINGLES_AND_PAIRS-1-1,EW,blue,none,,sequence,"e,w",,,FALSE
2025-SINGLES_AND_PAIRS-1-1,SS,blue,none,,pair,s,,,FALSE
2025-SINGLES_AND_PAIRS-1-1,11,blue,any,,pair,"1,2,3,4,5,6",,,FALSE
2025-SINGLES_AND_PAIRS-1-1,22,blue,same_as:11,,pair,"2,3,4,5,6,7",,consecutive:11,FALSE
2025-SINGLES_AND_PAIRS-1-1,33,blue,same_as:22,,pair,"3,4,5,6,7,8",,consecutive:22,FALSE
2025-SINGLES_AND_PAIRS-1-1,44,blue,same_as:33,,pair,"4,5,6,7,8,9",,consecutive:33,FALSE
2025-SINGLES_AND_PAIRS-2-1,FF,blue,none,,pair,flower,,,FALSE
2025-SINGLES_AND_PAIRS-2-1,2468_1,green,any,,sequence,"2,4,6,8",,,FALSE
2025-SINGLES_AND_PAIRS-2-1,DD_1,green,same_as:2468_1,,pair,dragon,,,FALSE
2025-SINGLES_AND_PAIRS-2-1,2468_2,red,second,,sequence,"2,4,6,8",,,FALSE
2025-SINGLES_AND_PAIRS-2-1,DD_2,red,same_as:2468_2,,pair,dragon,,,FALSE
2025-SINGLES_AND_PAIRS-3-1,336699_1,green,any,,sequence,"3,3,6,6,9,9",,,FALSE
2025-SINGLES_AND_PAIRS-3-1,336699_2,red,second,,sequence,"3,3,6,6,9,9",,,FALSE
2025-SINGLES_AND_PAIRS-3-1,33,blue,third,,pair,3,,,FALSE
2025-SINGLES_AND_PAIRS-4-1,FF,blue,none,,pair,flower,,,FALSE
2025-SINGLES_AND_PAIRS-4-1,11_1,green,any,,pair,"1,2,3,4,5,6,7,8",,,FALSE
2025-SINGLES_AND_PAIRS-4-1,22_1,green,same_as:11_1,,pair,"2,3,4,5,6,7,8,9",,consecutive:11_1,FALSE
2025-SINGLES_AND_PAIRS-4-1,11_2,red,any,,pair,"1,2,3,4,5,6,7,8",,,FALSE
2025-SINGLES_AND_PAIRS-4-1,22_2,red,same_as:11_2,,pair,"2,3,4,5,6,7,8,9",,consecutive:11_2,FALSE
2025-SINGLES_AND_PAIRS-4-1,11_3,blue,any,,pair,"1,2,3,4,5,6,7,8",,,FALSE
2025-SINGLES_AND_PAIRS-4-1,22_3,blue,same_as:11_3,,pair,"2,3,4,5,6,7,8,9",,consecutive:11_3,FALSE
2025-SINGLES_AND_PAIRS-5-1,11_1,green,any,,pair,1,,,FALSE
2025-SINGLES_AND_PAIRS-5-1,33,green,same_as:11_1,,pair,3,,,FALSE
2025-SINGLES_AND_PAIRS-5-1,55,green,same_as:33,,pair,5,,,FALSE
2025-SINGLES_AND_PAIRS-5-1,77,green,same_as:55,,pair,7,,,FALSE
2025-SINGLES_AND_PAIRS-5-1,99,green,same_as:77,,pair,9,,,FALSE
2025-SINGLES_AND_PAIRS-5-1,11_2,red,second,,pair,"1,3,5,7,9",11_1,,FALSE
2025-SINGLES_AND_PAIRS-5-1,11_3,blue,third,,pair,"1,3,5,7,9",11_2,,FALSE
2025-SINGLES_AND_PAIRS-6-1,FF,blue,none,,pair,flower,,,FALSE
2025-SINGLES_AND_PAIRS-6-1,2025_1,green,any,,sequence,"2,0,2,5",,,FALSE
2025-SINGLES_AND_PAIRS-6-1,2025_2,red,second,,sequence,"2,0,2,5",,,FALSE
2025-SINGLES_AND_PAIRS-6-1,2025_3,blue,third,,sequence,"2,0,2,5",,,FALSE
